pais_detecta,pais_final,nome_pasta
Kuaite,Kuaite (Kuwait),kuaite_kuwait
Kuwait,Kuaite (Kuwait),kuaite_kuwait
Laos,Laos,laos
Lesoto,Lesoto,lesoto
Letônia,Letônia,letonia
Líbano,Líbano,libano
Libéria,Libéria,liberia
Líbia,Líbia,libia
Liechtenstein,Liechtenstein,liechtenstein
Lituânia,Lituânia,lituania
Luxemburgo,Luxemburgo,luxemburgo
MACAU,MACAU,macau
Macedônia do Norte,Macedônia do Norte,macedonia_do_norte
Madagascar,Madagascar,madagascar
Malásia,Malásia,malasia
Malauí (Malawi),Malauí (Malawi),malaui_malawi
Malauí,Malauí (Malawi),malaui_malawi
Malawi,Malauí (Malawi),malaui_malawi
Maldivas,Maldivas,maldivas
Mali,Mali,mali
Malta,Malta,malta
Marrocos,Marrocos,marrocos
MARTINICA,MARTINICA,martinica
Maurício,Maurício,mauricio
Mauritânia,Mauritânia,mauritania
MAYOTTE,MAYOTTE,mayotte
MERCOSUL,MERCOSUL,mercosul
México,México,mexico
Mianmar (Myanmar),Mianmar (Myanmar),mianmar_myanmar
Mianmar,Mianmar (Myanmar),mianmar_myanmar
Myanmar,Mianmar (Myanmar),mianmar_myanmar
Micronésia,Micronésia,micronesia
Moçambique,Moçambique,mocambique
Moldova (Moldávia),Moldova (Moldávia),moldova_moldavia
Moldova,Moldova (Moldávia),moldova_moldavia
Moldávia,Moldova (Moldávia),moldova_moldavia
Mônaco,Mônaco,monaco
Mongólia,Mongólia,mongolia
Montenegro,Montenegro,montenegro
MONTSERRAT,MONTSERRAT,montserrat
Namíbia,Namíbia,namibia
Nauru,Nauru,nauru
Nepal,Nepal,nepal
Nicarágua,Nicarágua,nicaragua
Níger,Níger,niger
Nigéria,Nigéria,nigeria
NIUE,NIUE,niue
Noruega,Noruega,noruega
NOVA CALEDÔNIA,NOVA CALEDÔNIA,nova_caledonia
Nova Zelândia,Nova Zelândia,nova_zelandia
OCDE,OCDE,ocde
OEA,OEA,oea
OIAçúcar,OIAçúcar,oiacucar
OICacau/ICCO,OICacau/ICCO,oicacauicco
OICacau,OICacau/ICCO,oicacauicco
ICCO,OICacau/ICCO,oicacauicco
OICafé,OICafé,oicafe
OIE,OIE,oie
OIV,OIV,oiv
Omã,Omã,oma
OMC,OMC,omc
OMS,OMS,oms
ONU,ONU,onu
Nações Unidas,ONU,onu
Países Baixos,Países Baixos,paises_baixos
Palau,Palau,palau
Palestina,Palestina,palestina
Panamá,Panamá,panama
Papua Nova Guiné,Papua Nova Guiné,papua_nova_guine
Paquistão,Paquistão,paquistao
Paraguai,Paraguai,paraguai
Peru,Peru,peru
PITCAIRN,PITCAIRN,pitcairn
POLINÉSIA FRANCESA,POLINÉSIA FRANCESA,polinesia_francesa
Polônia,Polônia,polonia
PORTO RICO,PORTO RICO,porto_rico
Portugal,Portugal,portugal
Quênia,Quênia,quenia
Quirguistão,Quirguistão,quirguistao
Reino Unido,Reino Unido,reino_unido
Rep. Centro-Africana,Rep. Centro-Africana,rep_centroafricana
Rep. Dem. do Congo,Rep. Dem. do Congo,rep_dem_do_congo
República Dominicana,República Dominicana,republica_dominicana
Rep. Dom.,República Dominicana,republica_dominicana
República Tcheca,República Tcheca,republica_tcheca
RÉUNION,RÉUNION,reunion
Romênia,Romênia,romenia
Ruanda,Ruanda,ruanda
Rússia,Rússia,russia
SAARA OCIDENTAL,SAARA OCIDENTAL,saara_ocidental
SAINT BARTHÉLEMY,SAINT BARTHÉLEMY,saint_barthelemy
"SAINT HELENA, ASCENSION E TRISTAN DA CUNHA","SAINT HELENA, ASCENSION E TRISTAN DA CUNHA",saint_helena_ascension_e_tristan_da_cunha
Samoa,Samoa,samoa
SAMOA AMERICANA,SAMOA AMERICANA,samoa_americana
San Marino,San Marino,san_marino
Santa Lúcia,Santa Lúcia,santa_lucia
Santa Sé (Vaticano),Santa Sé (Vaticano),santa_se_vaticano
Santa Sé,Santa Sé (Vaticano),santa_se_vaticano
Vaticano,Santa Sé (Vaticano),santa_se_vaticano
São Cristóvão e Névis,São Cristóvão e Névis,sao_cristovao_e_nevis
SÃO MARTINHO (PARTE FRANCESA),SÃO MARTINHO (PARTE FRANCESA),sao_martinho_parte_francesa
SÃO PIERRE E MIQUELON,SÃO PIERRE E MIQUELON,sao_pierre_e_miquelon
São Tomé e Principe,São Tomé e Principe,sao_tome_e_principe
São Vicente e Granadinas,São Vicente e Granadinas,sao_vicente_e_granadinas
Seichelles (Seychelles),Seichelles (Seychelles),seichelles_seychelles
Seichelles,Seichelles (Seychelles),seichelles_seychelles
Seychelles,Seichelles (Seychelles),seichelles_seychelles
Seicheles,Seichelles (Seychelles),seichelles_seychelles
Senegal,Senegal,senegal
Serra Leoa,Serra Leoa,serra_leoa
Sérvia,Sérvia,servia
Singapura (Cingapura),Singapura (Cingapura),singapura_cingapura
Singapura,Singapura (Cingapura),singapura_cingapura
Cingapura,Singapura (Cingapura),singapura_cingapura
SINT MAARTEN (PARTE HOLANDESA),SINT MAARTEN (PARTE HOLANDESA),sint_maarten_parte_holandesa
Síria,Síria,siria
Somália,Somália,somalia
Sri Lanka,Sri Lanka,sri_lanka
Suazilândia,Suazilândia,suazilandia
Sudão,Sudão,sudao
Sudão do Sul,Sudão do Sul,sudao_do_sul
Suécia,Suécia,suecia
Suíça,Suíça,suica
Suriname,Suriname,suriname
SVALBARD E JAN MAYEN,SVALBARD E JAN MAYEN,svalbard_e_jan_mayen
Tadjiquistão,Tadjiquistão,tadjiquistao
Tailândia,Tailândia,tailandia
Taiwan,Taiwan,taiwan
Tanzânia,Tanzânia,tanzania
TERRITÓRIO OCEANO BRITÂNICO (THE),TERRITÓRIO OCEANO BRITÂNICO (THE),territorio_oceano_britanico_the
TERRITÓRIOS DO SUL FRANCÊS,TERRITÓRIOS DO SUL FRANCÊS,territorios_do_sul_frances
Timor-Leste (Timor Leste),Timor-Leste (Timor Leste),timorleste_timor_leste
Timor-Leste,Timor-Leste (Timor Leste),timorleste_timor_leste
Timor Leste,Timor-Leste (Timor Leste),timorleste_timor_leste
Togo,Togo,togo
TOKELAU,TOKELAU,tokelau
Tonga,Tonga,tonga
Trinidad e Tobago,Trinidad e Tobago,trinidad_e_tobago
Tunísia,Tunísia,tunisia
Turcomenistão,Turcomenistão,turcomenistao
TURKS E CAICOS ISLANDS,TURKS E CAICOS ISLANDS,turks_e_caicos_islands
Turquia,Turquia,turquia
Tuvalu,Tuvalu,tuvalu
Ucrânia,Ucrânia,ucrania
Uganda,Uganda,uganda
União Europeia,União Europeia,uniao_europeia
UE,União Europeia,uniao_europeia
Uruguai,Uruguai,uruguai
Uzbequistão,Uzbequistão,uzbequistao
Vanuatu,Vanuatu,vanuatu
VÁRIOS PAÍSES,VÁRIOS PAÍSES,varios_paises
Venezuela,Venezuela,venezuela
Vietnã,Vietnã,vietna
WALLIS E FUTUNA,WALLIS E FUTUNA,wallis_e_futuna
Zâmbia,Zâmbia,zambia
Zimbábue,Zimbábue,zimbabue
zTeste,zTeste,zteste
